Deduped.author.names,Author.Keywords,Year
"Alexander, E.",topic modeling,2015
"Gleicher, M.",Text visualization,2015
"Gleicher, M.",topic modeling,2015
"JÃ¤ckle, D.",Multivariate Data,2015
"JÃ¤ckle, D.",Time Series,2015
"JÃ¤ckle, D.",Data Reduction,2015
"JÃ¤ckle, D.",Multidimensional Scaling,2015
"Fischer, F.",Multivariate Data,2015
"Fischer, F.",Time Series,2015
"Fischer, F.",Data Reduction,2015
"Fischer, F.",Multidimensional Scaling,2015
"Schreck, T.",Multivariate Data,2015
"Schreck, T.",Time Series,2015
"Schreck, T.",Data Reduction,2015
"Schreck, T.",Multidimensional Scaling,2015
"Keim, D.A.",Multivariate Data,2015
"Keim, D.A.",Time Series,2015
"Keim, D.A.",Data Reduction,2015
"Keim, D.A.",Multidimensional Scaling,2015
Shenghui Cheng,High Dimensional Data,2015
Shenghui Cheng,Low-Dimensional Embedding,2015
Shenghui Cheng,Visual Analytics,2015
Shenghui Cheng,Decision Make,2015
Shenghui Cheng,Tradeoffs,2015
"Mueller, K.",High Dimensional Data,2015
"Mueller, K.",Low-Dimensional Embedding,2015
"Mueller, K.",Visual Analytics,2015
"Mueller, K.",Decision Make,2015
"Mueller, K.",Tradeoffs,2015
"Sacha, D.",Visual Analytics,2015
"Sacha, D.",Knowledge Generation,2015
"Sacha, D.",Uncertainty Measures and Propagation,2015
"Sacha, D.",Trust Building,2015
"Sacha, D.",Human Factors,2015
"Senaratne, H.",Visual Analytics,2015
"Senaratne, H.",Knowledge Generation,2015
"Senaratne, H.",Uncertainty Measures and Propagation,2015
"Senaratne, H.",Trust Building,2015
"Senaratne, H.",Human Factors,2015
Bum Chul Kwon,Visual Analytics,2015
Bum Chul Kwon,Knowledge Generation,2015
Bum Chul Kwon,Uncertainty Measures and Propagation,2015
Bum Chul Kwon,Trust Building,2015
Bum Chul Kwon,Human Factors,2015
"Ellis, G.",Visual Analytics,2015
"Ellis, G.",Knowledge Generation,2015
"Ellis, G.",Uncertainty Measures and Propagation,2015
"Ellis, G.",Trust Building,2015
"Ellis, G.",Human Factors,2015
"Keim, D.A.",Visual Analytics,2015
"Keim, D.A.",Knowledge Generation,2015
"Keim, D.A.",Uncertainty Measures and Propagation,2015
